Message -> La ruta de acceso no tiene un formato válido.
Backup: C:\Users\Cristian.Ramirez\Downloads\TestSyncDescarga\18-10-2021_181118 | Fecha: 18/10/2021 18:11:21
Backup: C:\Users\Cristian.Ramirez\Downloads\TestSyncDescarga\18-10-2021_181118 | Fecha: 18/10/2021 18:11:21
Backup: C:\Users\Cristian.Ramirez\Downloads\TestSyncDescarga\18-10-2021_181118 | Fecha: 18/10/2021 18:11:21
Backup: C:\Users\Cristian.Ramirez\Downloads\TestSyncDescarga\18-10-2021_181118 | Fecha: 18/10/2021 18:11:21
Backup: C:\Users\Cristian.Ramirez\Downloads\TestSyncDescarga\18-10-2021_181118 | Fecha: 18/10/2021 18:11:21
Backup: C:\Users\Cristian.Ramirez\Downloads\TestSyncDescarga\18-10-2021_181118 | Fecha: 18/10/2021 18:11:21
Backup: C:\Users\Cristian.Ramirez\Downloads\TestSyncDescarga\18-10-2021_181118 | Fecha: 18/10/2021 18:11:21
Backup: C:\Users\Cristian.Ramirez\Downloads\TestSyncDescarga\18-10-2021_181118 | Fecha: 18/10/2021 18:11:21
Backup: C:\Users\Cristian.Ramirez\Downloads\TestSyncDescarga\18-10-2021_181118 | Fecha: 18/10/2021 18:11:21
Backup: C:\Users\Cristian.Ramirez\Downloads\TestSyncDescarga\18-10-2021_181118 | Fecha: 18/10/2021 18:11:21
Backup: C:\Users\Cristian.Ramirez\Downloads\TestSyncDescarga\18-10-2021_181118 | Fecha: 18/10/2021 18:11:21
Backup: C:\Users\Cristian.Ramirez\Downloads\TestSyncDescarga\18-10-2021_181118 | Fecha: 18/10/2021 18:11:21
Backup: C:\Users\Cristian.Ramirez\Downloads\TestSyncDescarga\18-10-2021_181118 | Fecha: 18/10/2021 18:11:21
Error: Message -> El archivo 'C:\Users\Cristian.Ramirez\Downloads\TestSyncDescarga\18-10-2021_181118\Actualizator.exe' ya existe. | Fecha: 18/10/2021 18:11:21
Error: Message -> El archivo 'C:\Users\Cristian.Ramirez\Downloads\Nueva carpeta\Actualizator.exe' ya existe. | Fecha: 18/10/2021 18:11:26
Guardado proyecto XML  | Fecha:18/10/2021 18:11:33
Guardado proyecto XML  | Fecha:18/10/2021 18:11:37
Backup: C:\Users\Cristian.Ramirez\AppData\Roaming\18-10-2021_134937\18-10-2021_181138 | Fecha: 18/10/2021 18:11:38
Backup: C:\Users\Cristian.Ramirez\AppData\Roaming\18-10-2021_134937\18-10-2021_181138 | Fecha: 18/10/2021 18:11:38
Backup: C:\Users\Cristian.Ramirez\AppData\Roaming\18-10-2021_134937\18-10-2021_181138 | Fecha: 18/10/2021 18:11:38
Backup: C:\Users\Cristian.Ramirez\AppData\Roaming\18-10-2021_134937\18-10-2021_181138 | Fecha: 18/10/2021 18:11:38
Backup: C:\Users\Cristian.Ramirez\AppData\Roaming\18-10-2021_134937\18-10-2021_181138 | Fecha: 18/10/2021 18:11:38
Backup: C:\Users\Cristian.Ramirez\AppData\Roaming\18-10-2021_134937\18-10-2021_181138 | Fecha: 18/10/2021 18:11:38
